,A1001,A1002,A1003,A1004,A1005,A1006,A1007,A1008,A1009,A1010,A1011,A1012,A1013,A1014,A1015,A1016,A1017,A1018,A1019,A1020,A1021,A1022,A1023,A1024,A1025,A1026,A1027,A1028,A1029,A1030,A1031,A1032,A1033,A1034,A1035,A1036
A1001,0.0,10.015532621600231,19.621480042380032,30.640601152045125,38.81812864819155,15.037485966625464,22.562607854786094,21.30713682766321,28.09513446156055,30.358900169974866,30.90651561229073,29.828614073346348,27.41419545036058,31.308405270136433,23.462086287456522,26.817013182701672,45.93015713079936,43.46817357454312,47.63261290776562,30.203566180931837,28.47334076926213,29.739667447255073,41.14304803998498,14.842809950465151,18.03090895215254,78.99398727322163,46.75075746510596,63.9461171548393,43.767016451015934,22.730900192774858,34.330527553225174,77.2860202940225,80.5123272382815,66.90079319682066,64.36940982141832,58.68682455133269
A1002,10.015532621600231,0.0,10.11719105081467,21.197273684859315,29.637683663877798,7.237666196387704,16.544123263570434,13.441405647139526,18.75850411857221,21.46267286076174,21.512501584478507,23.000728975676182,19.85020865609263,24.78401256260517,14.937077569762973,16.839540892024587,36.10866181897728,34.667154763179255,41.283914175759904,21.616064032814442,19.95847218485592,22.293719779753225,40.64047132565767,23.78286940950572,11.271416017752454,77.68178337962145,50.87626256502454,67.01239381675164,53.71708420240019,32.05407062337912,44.187833581218946,81.34363468704701,78.58309517360959,59.03667518668078,54.41812193814293,50.29910983256373
A1003,19.621480042380032,10.11719105081467,0.0,11.095938256516286,19.524414869332325,11.96329752792284,19.66613179621339,14.722388608190279,14.865263609179143,18.393491117267157,16.957876479358212,23.713047828630593,19.90821741567253,25.69196164702563,14.319559211430077,9.87731744223557,28.90500120931927,30.556218558013594,41.06815310969539,19.284283912203502,18.089758061140387,22.118220981649646,46.53814541533318,33.871122024826164,7.128953819221538,82.00997264244641,59.487286773512594,74.82019494637561,62.54378027638736,42.096283055928325,52.807458588157125,89.63513131742253,82.32801593508289,55.87521642345352,44.96012592108693,40.383323623806845
A1004,30.640601152045125,21.197273684859315,11.095938256516286,0.0,8.587235892467703,21.563805888726698,26.777485834902727,21.653341745459105,16.955297024792824,20.201056192831462,17.394784425602403,28.19038472566601,24.51341019614599,30.049407324411135,19.920456471479635,10.66847586963763,22.79780443278334,28.7230619479922,42.80288156959354,21.66912585779618,21.29794667244284,26.050562042808345,53.87640465343082,44.96623590784767,14.647579758877116,87.1368153037603,69.01760452371632,83.46730117347505,72.9208000173605,53.18857721382781,63.0968347163347,98.66979202806164,86.85521886881817,53.5399757295135,34.62042040852456,29.96643212811018
A1005,38.81812864819155,29.637683663877798,19.524414869332325,8.587235892467703,0.0,30.10658139735931,34.721172310763,29.705398692773528,23.810502500181247,26.563354324086482,23.46151518273339,35.150684454995265,31.704158613454997,36.87913577899254,27.69791492572697,18.150555609363316,23.260295051014182,32.16505488517693,47.80857283732672,28.149378334067823,28.15789566737225,32.89009200534616,61.50748688892485,53.33646535648822,21.749461077409915,93.4546589129096,77.38804405910831,91.50278646013903,80.1975657658844,61.48905940522887,70.32724859517523,106.83077057264408,92.83663147054587,55.43281233406494,28.473269790381323,21.521947405340107
A1006,15.037485966625464,7.237666196387704,11.96329752792284,21.563805888726698,30.10658139735931,0.0,9.385838626478737,6.417544463646441,13.3225722135071,15.337717136343668,16.133745071381774,15.788574847120243,12.78011899973085,17.55209001427403,8.42460346382654,13.789212464531728,31.59871315801529,28.432210444017016,34.06470058143274,15.172082793688217,13.446249366496765,15.204849039059837,34.925680190933925,26.00318726660461,16.445592922766558,71.2808901813049,47.67256530503547,62.856935832957205,58.29861372527025,34.361450594533466,49.101943424208194,77.70593365935581,71.97035034221868,52.21861247514483,51.97398052041011,51.52296109906738
A1007,22.562607854786094,16.544123263570434,19.66613179621339,26.777485834902727,34.721172310763,9.385838626478737,0.0,5.168842962343931,12.1809636517734,11.77566278138543,14.246416989773344,7.35596572809248,6.097801786800722,8.74585256321041,7.073034943830651,16.603305013803897,29.354565789253165,22.832647196895046,25.16381814007918,10.659870370942626,9.221677357805595,7.842527276690112,27.2116138947081,29.752950560994556,25.336569086819242,62.413454657170455,43.17211538022337,56.782044851810966,63.61555820425957,37.6195572035507,54.98296568031621,72.1427775157088,62.89670781018187,44.55747709537146,52.048387165088194,56.141439263885495
A1008,21.30713682766321,13.441405647139526,14.722388608190279,21.653341745459105,29.705398692773528,6.417544463646441,5.168842962343931,0.0,8.438427699040197,9.471100819322775,11.024506888825774,9.710751257161906,6.409449117902586,11.59990847221338,2.7570025074733966,11.704475051650228,26.681162707123004,22.249211817833505,27.945649772126753,9.011201427470711,7.275435407041846,8.852318422448167,32.380194968494344,30.941747459959775,20.80120467104183,67.28968391363925,47.86989671247813,61.83766166585177,64.05609213031249,39.14650059576903,55.03824673145548,77.12555174563819,67.62488062296204,45.80141166565635,48.44534669609075,51.182417958919224
A1009,28.09513446156055,18.75850411857221,14.865263609179143,16.955297024792824,23.810502500181247,13.3225722135071,12.1809636517734,8.438427699040197,0.0,3.5939382133944604,2.817717298356464,11.357940877082799,7.933096707328224,13.148266427829919,5.6836411839473655,6.432515389945137,18.388441455880667,16.133842287358366,26.649811543028164,4.814732867888146,4.374857345278907,9.140020341776678,37.836647856519484,39.078043603274864,21.975932595665622,70.18246272625325,55.251858630545726,68.23763369538156,71.6078926892078,47.36328537283982,62.35290901788959,83.78606306849512,69.92497948434502,41.201603459931896,40.076743359841586,44.7820214555459
A1010,30.358900169974866,21.46267286076174,18.393491117267157,20.201056192831462,26.563354324086482,15.337717136343668,11.77566278138543,9.471100819322775,3.5939382133944604,0.0,3.1714179815560084,8.849281948758165,6.218819068790939,10.40374789897979,6.951816151141764,9.909524747829325,17.603547442755964,13.20899746801725,23.073864752482624,1.6156610827491833,2.554729483840471,6.527851701839884,35.66552827955553,40.38664887928494,25.480048076205946,67.04901201776622,54.0379187974796,66.34707658011087,73.48292418412039,48.54877762735863,64.39062410352999,82.00427258506441,66.6699394030511,37.9183287681296,40.414323596386495,47.11708351664706
A1011,30.90651561229073,21.512501584478507,16.957876479358212,17.394784425602403,23.46151518273339,16.133745071381774,14.246416989773344,11.024506888825774,2.817717298356464,3.1714179815560084,0.0,12.012404502212993,9.165841559218956,13.572859141396917,8.280198933197271,7.619313845262817,15.670255256872327,13.661100860943545,25.499880738862604,4.787078924026088,5.346619670149199,9.692357167480235,38.81897550222252,41.825215014127764,24.084294747296347,70.0609257373696,56.964360194645245,69.46449316455139,74.42397610685343,50.0903252113581,65.17023777709905,85.1017930041434,69.600145118814,38.92169852255528,37.80481130725323,43.94612135980993
A1012,29.828614073346348,23.000728975676182,23.713047828630593,28.19038472566601,35.150684454995265,15.788574847120243,7.35596572809248,9.710751257161906,11.357940877082799,8.849281948758165,12.012404502212993,0.0,3.8396453918383284,1.9798593516033385,9.39482498455005,17.52728737846333,24.79080287509877,16.329603480374587,18.283754835580883,7.24055295279328,6.993444413162796,2.3216118724548043,26.82048005953128,36.7962795187093,30.244960298321423,59.039157427103675,45.730866508861496,57.553828908958025,70.80805377688945,44.45528796909888,62.27379280627737,73.24666302629261,58.98959517960101,37.20186922410977,48.375721184963,55.928623707626116
A1013,27.41419545036058,19.85020865609263,19.90821741567253,24.51341019614599,31.704158613454997,12.78011899973085,6.097801786800722,6.409449117902586,7.933096707328224,6.218819068790939,9.165841559218956,3.8396453918383284,0.0,5.814068473330445,5.615272852329356,13.847673326706131,23.495598934312103,16.820557121729202,21.65306506380082,4.827601913662342,3.8214305394739116,2.4458357761946417,29.906233723211376,35.72618907803288,26.520980447125787,62.824824832525444,47.83044626560457,60.38458074728127,69.4205764915587,43.669205161431584,60.631342037970214,75.98324274748451,62.815539405381465,39.514969442937776,46.595559366421625,52.711431018841566
A1014,31.308405270136433,24.78401256260517,25.69196164702563,30.049407324411135,36.87913577899254,17.55209001427403,8.74585256321041,11.59990847221338,13.148266427829919,10.40374789897979,13.572859141396917,1.9798593516033385,5.814068473330445,0.0,11.373008305595201,19.4003229478377,25.49537196782558,16.244931257409654,16.530327768590634,8.789944657001765,8.77416610517646,4.008296716633356,25.43659194757853,37.654386607411425,32.20692772288126,57.13047768074245,44.900463015074635,56.27493886442243,71.75483022050747,45.15395419844681,63.349840671783156,72.01209222858719,57.04225845577615,35.96270059632127,49.22749177480895,57.51768018633905
A1015,23.462086287456522,14.937077569762973,14.319559211430077,19.920456471479635,27.69791492572697,8.42460346382654,7.073034943830651,2.7570025074733966,5.6836411839473655,6.951816151141764,8.280198933197271,9.39482498455005,5.615272852329356,11.373008305595201,0.0,9.552871769234333,23.94671144188887,20.00969470455187,27.154598711429248,6.763341055349218,5.055884473384529,7.9348809795012105,33.957521366385585,33.60721166963533,20.909683862868036,68.04717944922584,50.198982137113795,63.81545752180978,66.53989371656654,41.8412806823085,57.439076949362864,79.20684984688644,68.18214230287882,44.100480021778566,45.72112605774624,49.08230835125078
A1016,26.817013182701672,16.839540892024587,9.87731744223557,10.66847586963763,18.150555609363316,13.789212464531728,16.603305013803897,11.704475051650228,6.432515389945137,9.909524747829325,7.619313845262817,17.52728737846333,13.847673326706131,19.4003229478377,9.552871769234333,0.0,19.46789005738274,20.865428657617798,32.95055848783149,11.241646636856949,10.686832629782794,15.412721515393422,43.406794748365336,39.53212113267402,16.877410381985705,76.51949582189093,59.57282167036554,73.3681985766382,70.5563200712701,47.9148483281602,61.01416654576256,88.74566603465048,76.323264986974,46.23396780327778,38.234090720908135,39.538180480585
