,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13,neighbor14,neighbor15,neighbor16,neighbor17,neighbor18,neighbor19,neighbor20,neighbor21,neighbor22,neighbor23,neighbor24,neighbor25,neighbor26,neighbor27,neighbor28,neighbor29,neighbor30,neighbor31,neighbor32,neighbor33,neighbor34,neighbor35,neighbor36
A1001,A1001,A1002,A1024,A1006,A1025,A1003,A1008,A1007,A1030,A1015,A1016,A1013,A1009,A1021,A1022,A1012,A1020,A1010,A1004,A1011,A1014,A1031,A1005,A1023,A1018,A1029,A1017,A1027,A1019,A1036,A1028,A1035,A1034,A1032,A1026,A1033
A1002,A1002,A1006,A1001,A1003,A1025,A1008,A1015,A1007,A1016,A1009,A1013,A1021,A1004,A1010,A1011,A1020,A1022,A1012,A1024,A1014,A1005,A1030,A1018,A1017,A1023,A1019,A1031,A1036,A1027,A1029,A1035,A1034,A1028,A1026,A1033,A1032
A1003,A1003,A1025,A1016,A1002,A1004,A1006,A1015,A1008,A1009,A1011,A1021,A1010,A1020,A1005,A1001,A1007,A1013,A1022,A1012,A1014,A1017,A1018,A1024,A1036,A1019,A1030,A1035,A1023,A1031,A1034,A1027,A1029,A1028,A1026,A1033,A1032
A1004,A1004,A1005,A1016,A1003,A1025,A1009,A1011,A1015,A1010,A1002,A1021,A1006,A1008,A1020,A1017,A1013,A1022,A1007,A1012,A1018,A1036,A1014,A1001,A1035,A1019,A1024,A1030,A1034,A1023,A1031,A1027,A1029,A1028,A1033,A1026,A1032
A1005,A1005,A1004,A1016,A1003,A1036,A1025,A1017,A1011,A1009,A1010,A1015,A1020,A1021,A1035,A1002,A1008,A1006,A1013,A1018,A1022,A1007,A1012,A1014,A1001,A1019,A1024,A1034,A1030,A1023,A1031,A1027,A1029,A1028,A1033,A1026,A1032
A1006,A1006,A1008,A1002,A1015,A1007,A1003,A1013,A1009,A1021,A1016,A1001,A1020,A1022,A1010,A1012,A1011,A1025,A1014,A1004,A1024,A1018,A1005,A1017,A1019,A1030,A1023,A1027,A1031,A1036,A1035,A1034,A1029,A1028,A1026,A1033,A1032
A1007,A1007,A1008,A1013,A1015,A1012,A1022,A1014,A1021,A1006,A1020,A1010,A1009,A1011,A1002,A1016,A1003,A1001,A1018,A1019,A1025,A1004,A1023,A1017,A1024,A1005,A1030,A1027,A1034,A1035,A1031,A1036,A1028,A1026,A1033,A1029,A1032
A1008,A1008,A1015,A1007,A1013,A1006,A1021,A1009,A1022,A1020,A1010,A1012,A1011,A1014,A1016,A1002,A1003,A1025,A1001,A1004,A1018,A1017,A1019,A1005,A1024,A1023,A1030,A1034,A1027,A1035,A1036,A1031,A1028,A1029,A1026,A1033,A1032
A1009,A1009,A1011,A1010,A1021,A1020,A1015,A1016,A1013,A1008,A1022,A1012,A1007,A1014,A1006,A1003,A1018,A1004,A1017,A1002,A1025,A1005,A1019,A1001,A1023,A1024,A1035,A1034,A1036,A1030,A1027,A1031,A1028,A1033,A1026,A1029,A1032
A1010,A1010,A1020,A1021,A1011,A1009,A1013,A1022,A1015,A1012,A1008,A1016,A1014,A1007,A1018,A1006,A1017,A1003,A1004,A1002,A1019,A1025,A1005,A1001,A1023,A1034,A1024,A1035,A1036,A1030,A1027,A1031,A1028,A1033,A1026,A1029,A1032
A1011,A1011,A1009,A1010,A1020,A1021,A1016,A1015,A1013,A1022,A1008,A1012,A1014,A1018,A1007,A1017,A1006,A1003,A1004,A1002,A1005,A1025,A1019,A1001,A1035,A1023,A1034,A1024,A1036,A1030,A1027,A1031,A1028,A1033,A1026,A1029,A1032
A1012,A1012,A1014,A1022,A1013,A1021,A1020,A1007,A1010,A1015,A1008,A1009,A1011,A1006,A1018,A1016,A1019,A1002,A1003,A1017,A1023,A1004,A1001,A1025,A1005,A1024,A1034,A1030,A1027,A1035,A1036,A1028,A1033,A1026,A1031,A1029,A1032
