,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116
M101,0.0,8.773393040039325,11.254055177710427,27.00077916054926,13.051805577461794,7.785511399610599,10.61937263697857,26.112793371824655,31.070958225584153,35.786309109203934,29.627076528319503,16.92229320725357,72.89129937038327,48.74192011339333,65.50943396599351,61.75713541141451
M102,8.773393040039325,0.0,7.517815512507976,18.832201926655834,18.897235006719658,12.229419722970562,16.686895964222135,22.3183631167452,37.03396384806018,44.438366438291446,35.042449281121385,11.062086509927807,80.83850557383055,57.35912886928081,74.27595826546535,64.79802738024325
M103,11.254055177710427,7.517815512507976,0.0,17.35366638758685,15.163050091190245,9.069474050932786,13.563520479163335,15.393233302148644,32.16593268656462,43.563960173586764,40.5460362352401,18.199594344547982,77.75316943067564,58.7510898232947,74.54552598246913,71.58137276664664
M104,27.00077916054926,18.832201926655834,17.35366638758685,0.0,32.144471619586554,26.409523710161924,30.799752613995775,17.14634500784028,47.464795625225264,60.91523224749021,53.11896601073648,21.7069911741445,94.15387191937259,75.64940967614153,91.83179238382596,80.10938080660678
M105,13.051805577461794,18.897235006719658,15.163050091190245,32.144471619586554,0.0,6.68990416517544,2.4328342253424964,23.3722121299103,18.26420774181454,29.31757524268498,37.82419112499253,29.241755598820188,62.628745448329305,46.65311225368657,60.877292397243416,71.56273567902545
M106,7.785511399610599,12.229419722970562,9.069474050932786,26.409523710161924,6.68990416517544,0.0,4.6510243843265995,20.72940011427932,24.82361502203522,34.507663906565135,36.167411515650514,22.783610288966866,69.14088810199418,50.25252332022617,65.61698834210793,69.0584038422264
M107,10.61937263697857,16.686895964222135,13.563520479163335,30.799752613995775,2.4328342253424964,4.6510243843265995,0.0,23.3205053158075,20.636667150843078,30.238841629950016,36.10879734345973,26.882596114674378,64.4907467605243,46.81386824445017,61.59553791099555,69.67957610709051
M108,26.112793371824655,22.3183631167452,15.393233302148644,17.14634500784028,23.3722121299103,20.72940011427932,23.3205053158075,0.0,33.77875018887525,52.191994177475095,55.72114612771336,31.380737815838526,80.85636346961958,70.01673665849603,83.88707574466792,86.94902503585034
M109,31.070958225584153,37.03396384806018,32.16593268656462,47.464795625225264,18.26420774181454,24.82361502203522,20.636667150843078,33.77875018887525,0.0,24.479317680749237,50.07608406051585,47.505955393918455,47.12208463892216,45.19894642186692,54.20466709324154,83.99087445060078
M110,35.786309109203934,44.438366438291446,43.563960173586764,60.91523224749021,29.31757524268498,34.507663906565135,30.238841629950016,52.191994177475095,24.479317680749237,0.0,37.36540220755626,51.61102881961139,39.6867902996742,20.760980924320542,31.69632371591448,68.13914378309708
M111,29.627076528319503,35.042449281121385,40.5460362352401,53.11896601073648,37.82419112499253,36.167411515650514,36.10879734345973,55.72114612771336,50.07608406051585,37.36540220755626,0.0,33.066086880809195,76.14362084979395,35.59112337064874,54.696501124740635,34.06474242783622
M112,16.92229320725357,11.062086509927807,18.199594344547982,21.7069911741445,29.241755598820188,22.783610288966866,26.882596114674378,31.380737815838526,47.505955393918455,51.61102881961139,33.066086880809195,0.0,89.63414892355011,61.45222075073508,79.50427524948877,58.405581657654245
M113,72.89129937038327,80.83850557383055,77.75316943067564,94.15387191937259,62.628745448329305,69.14088810199418,64.4907467605243,80.85636346961958,47.12208463892216,39.6867902996742,76.14362084979395,89.63414892355011,0.0,45.91501797510962,35.26962810381446,103.38056120557857
M114,48.74192011339333,57.35912886928081,58.7510898232947,75.64940967614153,46.65311225368657,50.25252332022617,46.81386824445017,70.01673665849603,45.19894642186692,20.760980924320542,35.59112337064874,61.45222075073508,45.91501797510962,0.0,19.12718328283931,57.784146443157404
M115,65.50943396599351,74.27595826546535,74.54552598246913,91.83179238382596,60.877292397243416,65.61698834210793,61.59553791099555,83.88707574466792,54.20466709324154,31.69632371591448,54.696501124740635,79.50427524948877,35.26962810381446,19.12718328283931,0.0,74.03864409511763
M116,61.75713541141451,64.79802738024325,71.58137276664664,80.10938080660678,71.56273567902545,69.0584038422264,69.67957610709051,86.94902503585034,83.99087445060078,68.13914378309708,34.06474242783622,58.405581657654245,103.38056120557857,57.784146443157404,74.03864409511763,0.0
