,shunyi_meo,hadian_meo,yanqing_meo,miyun_meo,huairou_meo,shangdianzi_meo,pinggu_meo,tongzhou_meo,chaoyang_meo,pingchang_meo,zhaitang_meo,mentougou_meo,beijing_meo,shijingshan_meo,fengtai_meo,daxing_meo,fangshan_meo,xiayunling_meo
yufa_aq,72.63301021022758,51.92820341629304,107.13041884176786,106.79081427695525,97.23738350475425,144.23737364916963,100.44499305100778,53.416054108244715,51.065979824838486,78.56966730560208,72.43789174873064,42.70064700287578,34.96446469892735,47.67310073786909,39.229562231980516,22.57156212172679,29.56156217236926,53.23436112986981
liulihe_aq,80.33368239701433,51.61395636462509,96.71424372366356,115.26186565631302,101.65646217523684,152.7298276814821,115.73364500143396,71.22994873049066,59.56536556692836,73.7789190833877,51.0891285077056,36.7433828217408,47.386608894214845,43.96172401856466,38.49485543739107,34.0359576740615,27.146964731689206,27.683924346710604
yongledian_aq,48.27647061129305,51.98011680759274,107.33744490014648,74.3221700866213,73.02605226986857,108.92801526863808,58.325761106954985,15.234052208314997,35.99548514258346,74.85590937869142,97.57231723030615,56.987612121026636,28.773218256151946,55.5952498522297,49.198729975559296,36.66360833903842,50.80125643387414,89.17709789042186
daxing_aq,48.88317135886059,31.434184449903906,89.36045830998837,83.13822660056758,73.62843653497774,120.66094111962224,78.88292430288465,33.399216155613814,27.354721628012804,58.532129113907196,67.09756504018603,28.351673717794043,11.282012826836933,30.184764751698957,21.693383896456652,4.239068492581302,18.95587792659816,56.752924153623745
fangshan_aq,59.155729424590426,30.26284998815143,79.93826479202643,93.98805073914845,80.21560370576725,131.37846426401634,96.23745406214752,54.30919160543189,38.96073623678577,53.90877688793389,45.82273156465918,16.303045622520255,29.374824307609178,23.06585358055096,17.046820277934184,18.860631459928634,6.053727383937175,33.84705226970311
yizhuang_aq,38.03755988161272,28.167218075219527,85.91408198476685,71.58007362354239,63.418564281386956,108.95554830681549,66.71256161628824,22.189349905687827,17.518774965863066,53.82265001234701,72.22781324098173,31.58154259909312,3.3584099935412772,30.457874817112355,23.784349535631083,15.491676266894567,26.75738580069779,65.84265712432082
yungang_aq,52.26530873963736,21.916227278002367,71.1573936679353,86.71236252074317,72.08758680549555,123.83916085620787,91.25742553054525,52.207060272508066,33.476718516390484,44.754574333119464,42.145608165139265,7.147005063546928,27.69710429928231,14.11402974146565,9.91527139774885,21.323501616895403,7.001594575693756,36.23588301633094
nansanhuan_aq,36.73671576005438,15.988173683132576,74.19555874458267,71.71261617614121,59.98402866306443,109.32802344050882,72.74682450383973,33.19197440887352,15.605231755205295,42.959167105238976,59.10642839201888,18.401334017264105,10.286452345183761,16.88786092423545,10.594081666817793,15.320813849514725,17.47875989003004,55.447885980604184
fengtaihuayuan_aq,40.990041497457476,13.8171945716838,70.33397719074348,75.81985305987014,62.46926082749995,113.24270758570627,79.14129265098441,40.81031105006189,21.378929067654145,40.47520130627821,51.53820382896921,10.819763958513606,17.44841508645199,10.848617314059275,2.989682277734771,17.301012146359295,12.35001028097789,48.36794097109316
yongdingmennei_aq,33.64743166285232,15.165282700646712,73.2859451543754,68.61187006958234,57.116084806427665,106.23468119014483,69.73550353502063,31.116315415639164,12.465112136089301,41.62338018237246,60.82502420093674,20.31701755094037,10.093745947764221,17.713954834677548,12.707657977200196,17.824151488712005,20.54906880472519,58.177429392834654
wanshouxigong_aq,35.601173005107576,13.198429354259716,71.39588098797023,70.57631367333707,58.24683404204572,108.1372293801027,72.81530201281119,34.70492218865527,15.157424741898945,40.21427265389487,57.26231144428371,16.72614121463745,12.82345723584855,14.423783673021978,9.147762465230137,17.724491131588806,17.82820694370303,54.81044332000007
