from_aq,to_aq,area,level
yufa_aq,yufa_aq,0.0,0
yufa_aq,liulihe_aq,7.0,1
yufa_aq,yongledian_aq,2.0,2
yufa_aq,daxing_aq,1.0,1
yufa_aq,fangshan_aq,8.0,1
yufa_aq,yizhuang_aq,2.0,2
yufa_aq,yungang_aq,8.0,2
yufa_aq,nansanhuan_aq,1.0,2
yufa_aq,fengtaihuayuan_aq,1.0,2
yufa_aq,yongdingmennei_aq,1.0,2
yufa_aq,wanshouxigong_aq,1.0,2
yufa_aq,tiantan_aq,1.0,2
yufa_aq,tongzhou_aq,2.0,2
yufa_aq,qianmen_aq,1.0,2
yufa_aq,gucheng_aq,8.0,2
yufa_aq,guanyuan_aq,1.0,2
yufa_aq,dongsi_aq,1.0,2
yufa_aq,mentougou_aq,8.0,2
yufa_aq,nongzhanguan_aq,1.0,2
yufa_aq,dongsihuan_aq,1.0,2
yufa_aq,xizhimenbei_aq,1.0,2
yufa_aq,aotizhongxin_aq,1.0,2
yufa_aq,wanliu_aq,1.0,2
yufa_aq,zhiwuyuan_aq,1.0,2
yufa_aq,beibuxinqu_aq,1.0,2
yufa_aq,donggaocun_aq,2.0,2
yufa_aq,shunyi_aq,2.0,2
yufa_aq,pinggu_aq,2.0,2
yufa_aq,pingchang_aq,1.0,2
yufa_aq,dingling_aq,1.0,2
yufa_aq,huairou_aq,1.0,2
yufa_aq,badaling_aq,8.0,2
yufa_aq,miyun_aq,2.0,3
yufa_aq,yanqin_aq,8.0,3
yufa_aq,miyunshuiku_aq,2.0,3
liulihe_aq,yufa_aq,3.0,1
liulihe_aq,liulihe_aq,0.0,0
liulihe_aq,yongledian_aq,3.0,2
liulihe_aq,daxing_aq,2.0,2
liulihe_aq,fangshan_aq,2.0,1
liulihe_aq,yizhuang_aq,2.0,2
liulihe_aq,yungang_aq,2.0,1
liulihe_aq,nansanhuan_aq,2.0,2
liulihe_aq,fengtaihuayuan_aq,2.0,2
liulihe_aq,yongdingmennei_aq,2.0,2
liulihe_aq,wanshouxigong_aq,2.0,2
liulihe_aq,tiantan_aq,2.0,2
liulihe_aq,tongzhou_aq,2.0,2
liulihe_aq,qianmen_aq,2.0,2
liulihe_aq,gucheng_aq,2.0,2
liulihe_aq,guanyuan_aq,2.0,2
liulihe_aq,dongsi_aq,2.0,2
liulihe_aq,mentougou_aq,1.0,2
liulihe_aq,nongzhanguan_aq,2.0,2
liulihe_aq,dongsihuan_aq,2.0,2
liulihe_aq,xizhimenbei_aq,2.0,2
liulihe_aq,aotizhongxin_aq,2.0,2
liulihe_aq,wanliu_aq,2.0,2
liulihe_aq,zhiwuyuan_aq,1.0,2
liulihe_aq,beibuxinqu_aq,1.0,2
liulihe_aq,donggaocun_aq,2.0,3
liulihe_aq,shunyi_aq,2.0,2
liulihe_aq,pinggu_aq,2.0,3
liulihe_aq,pingchang_aq,1.0,2
liulihe_aq,dingling_aq,1.0,2
liulihe_aq,huairou_aq,2.0,2
liulihe_aq,badaling_aq,1.0,2
liulihe_aq,miyun_aq,2.0,3
liulihe_aq,yanqin_aq,1.0,2
liulihe_aq,miyunshuiku_aq,2.0,3
yongledian_aq,yufa_aq,6.0,2
yongledian_aq,liulihe_aq,7.0,2
yongledian_aq,yongledian_aq,0.0,0
yongledian_aq,daxing_aq,7.0,2
yongledian_aq,fangshan_aq,7.0,2
yongledian_aq,yizhuang_aq,7.0,1
yongledian_aq,yungang_aq,7.0,2
yongledian_aq,nansanhuan_aq,8.0,2
yongledian_aq,fengtaihuayuan_aq,7.0,2
yongledian_aq,yongdingmennei_aq,8.0,2
yongledian_aq,wanshouxigong_aq,8.0,2
yongledian_aq,tiantan_aq,8.0,2
yongledian_aq,tongzhou_aq,8.0,1
yongledian_aq,qianmen_aq,8.0,2
yongledian_aq,gucheng_aq,8.0,2
yongledian_aq,guanyuan_aq,8.0,2
yongledian_aq,dongsi_aq,8.0,2
yongledian_aq,mentougou_aq,8.0,2
yongledian_aq,nongzhanguan_aq,8.0,2
yongledian_aq,dongsihuan_aq,8.0,2
yongledian_aq,xizhimenbei_aq,8.0,2
yongledian_aq,aotizhongxin_aq,8.0,2
yongledian_aq,wanliu_aq,8.0,2
