,Unnamed: 0,station_id,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
0,0,aotizhongxin_aq,2018/1/31 16:00,49,82,90,0.9,6,10
1,1,aotizhongxin_aq,2018/1/31 17:00,47,80,90,0.9,5,10
2,2,aotizhongxin_aq,2018/1/31 18:00,46,91,91,1.3,5,28
3,3,aotizhongxin_aq,2018/1/31 19:00,60,95,85,2,6,38
4,4,aotizhongxin_aq,2018/1/31 20:00,52,91,81,1.9,5,30
5,5,aotizhongxin_aq,2018/1/31 21:00,38,80,72,1.2,4,14
6,6,aotizhongxin_aq,2018/1/31 22:00,30,70,70,0.9,3,8
7,7,aotizhongxin_aq,2018/1/31 23:00,29,75,73,0.8,3,10
8,8,aotizhongxin_aq,2018/2/1 0:00,26,79,73,0.9,4,7
9,9,aotizhongxin_aq,2018/2/1 1:00,28,95,73,1.1,7,10
10,10,aotizhongxin_aq,2018/2/1 2:00,38,96,59,1.1,21,20
11,11,aotizhongxin_aq,2018/2/1 3:00,43,102,50,1.1,34,22
12,12,aotizhongxin_aq,2018/2/1 4:00,48,110,47,1.1,42,20
13,13,aotizhongxin_aq,2018/2/1 5:00,42,120,29,0.7,62,13
14,14,aotizhongxin_aq,2018/2/1 6:00,32,124,21,0.5,73,12
15,15,aotizhongxin_aq,2018/2/1 7:00,33,131,19,0.4,78,11
16,16,aotizhongxin_aq,2018/2/1 8:00,29,110,21,0.4,75,10
17,17,aotizhongxin_aq,2018/2/1 9:00,27,100,24,0.4,69,10
18,18,aotizhongxin_aq,2018/2/1 10:00,24,90,22,0.4,71,5
19,19,aotizhongxin_aq,2018/2/1 11:00,16,76,23,0.3,67,3
20,20,aotizhongxin_aq,2018/2/1 12:00,14,49,23,0.3,66,3
21,21,aotizhongxin_aq,2018/2/1 13:00,9,38,15,0.3,71,2
22,22,aotizhongxin_aq,2018/2/1 14:00,6,35,11,0.2,74,2
23,23,aotizhongxin_aq,2018/2/1 15:00,6,32,10,0.2,74,2
24,24,aotizhongxin_aq,2018/2/1 16:00,9,38,18,0.2,61,2
25,25,aotizhongxin_aq,2018/2/1 17:00,10,46,18,0.2,62,2
26,26,aotizhongxin_aq,2018/2/1 18:00,8,34,24,0.2,54,2
27,27,aotizhongxin_aq,2018/2/1 19:00,8,27,22,0.2,55,3
28,28,aotizhongxin_aq,2018/2/1 20:00,8,25,20,0.3,,4
29,29,aotizhongxin_aq,2018/2/1 21:00,7,34,16,0.2,56,4
30,30,aotizhongxin_aq,2018/2/1 22:00,7,32,19,0.2,55,2
