,Unnamed: 0,station_id,utc_time,temperature,pressure,humidity,wind_speed,wind_direction,weather
0,0,beijing_meo,2018-01-31 16:00:00,-4.8,1023.9,39.0,0.9,59.0,0.0
1,1,beijing_meo,2018-01-31 17:00:00,-6.1,1023.4,42.0,0.0,999017.0,0.0
2,2,beijing_meo,2018-01-31 18:00:00,-7.0,1023.1,45.0,0.5,178.0,0.0
3,3,beijing_meo,2018-01-31 19:00:00,-7.7,1022.8,47.0,0.0,999017.0,17.0
4,4,beijing_meo,2018-01-31 20:00:00,-6.3,1022.4,44.0,2.0,71.0,0.0
5,5,beijing_meo,2018-01-31 21:00:00,-5.6,1022.5,40.0,1.3,72.0,0.0
6,6,beijing_meo,2018-01-31 22:00:00,-5.8,1022.7,39.0,1.2,70.0,0.0
7,7,beijing_meo,2018-01-31 23:00:00,-7.7,1023.2,46.0,0.0,999017.0,0.0
8,8,beijing_meo,2018-02-01 00:00:00,-7.1,1024.1,47.0,0.2,999017.0,9.0
9,9,beijing_meo,2018-02-01 01:00:00,-3.5,1024.4,41.0,0.7,279.0,9.0
10,10,beijing_meo,2018-02-01 02:00:00,-0.7,1024.5,26.0,1.4,54.0,0.0
11,11,beijing_meo,2018-02-01 03:00:00,1.7,1024.2,20.0,3.1,339.0,0.0
12,12,beijing_meo,2018-02-01 04:00:00,3.2,1023.5,18.0,3.2,341.0,0.0
13,13,beijing_meo,2018-02-01 05:00:00,3.4,1022.7,18.0,2.6,14.0,0.0
14,14,beijing_meo,2018-02-01 06:00:00,4.9,1022.4,16.0,1.8,239.0,0.0
15,15,beijing_meo,2018-02-01 07:00:00,4.8,1022.5,15.0,1.8,278.0,0.0
16,16,beijing_meo,2018-02-01 08:00:00,5.0,1022.7,15.0,1.8,262.0,0.0
17,17,beijing_meo,2018-02-01 09:00:00,3.7,1023.6,18.0,4.2,1.0,0.0
18,18,beijing_meo,2018-02-01 10:00:00,3.2,1024.7,18.0,3.7,316.0,0.0
19,19,beijing_meo,2018-02-01 11:00:00,2.4,1026.2,23.0,4.1,334.0,0.0
20,20,beijing_meo,2018-02-01 12:00:00,2.0,1027.3,20.0,4.1,332.0,0.0
21,21,beijing_meo,2018-02-01 13:00:00,1.6,1028.4,15.0,5.7,324.0,0.0
22,22,beijing_meo,2018-02-01 14:00:00,0.2,1029.5,21.0,4.3,355.0,0.0
23,23,beijing_meo,2018-02-01 15:00:00,-1.0,1030.3,21.0,5.4,355.0,0.0
24,24,beijing_meo,2018-02-01 16:00:00,-2.4,1031.4,24.0,3.8,319.0,0.0
25,25,beijing_meo,2018-02-01 17:00:00,-3.2,1031.7,25.0,3.7,339.0,0.0
26,26,beijing_meo,2018-02-01 18:00:00,-3.5,1032.4,26.0,5.8,352.0,0.0
27,27,beijing_meo,2018-02-01 19:00:00,-4.0,1032.7,27.0,4.9,333.0,0.0
28,28,beijing_meo,2018-02-01 20:00:00,-4.4,1033.3,28.0,4.2,346.0,0.0
29,29,beijing_meo,2018-02-01 21:00:00,-5.0,1034.3,28.0,3.4,333.0,0.0
30,30,beijing_meo,2018-02-01 22:00:00,-5.6,1034.8,23.0,5.2,339.0,0.0
31,31,beijing_meo,2018-02-01 23:00:00,-6.2,1035.8,23.0,3.2,331.0,0.0
32,32,beijing_meo,2018-02-02 00:00:00,-6.3,1036.4,21.0,3.9,352.0,0.0
33,33,beijing_meo,2018-02-02 01:00:00,-5.8,1037.2,21.0,4.4,342.0,0.0
34,34,beijing_meo,2018-02-02 02:00:00,-4.9,1037.0,19.0,4.9,5.0,0.0
35,35,beijing_meo,2018-02-02 03:00:00,-4.0,1036.5,19.0,4.2,350.0,0.0
36,36,beijing_meo,2018-02-02 04:00:00,-3.3,1035.5,17.0,4.6,319.0,0.0
37,37,beijing_meo,2018-02-02 05:00:00,-2.7,1034.8,16.0,6.8,0.0,0.0
38,38,beijing_meo,2018-02-02 06:00:00,-2.1,1033.9,16.0,5.1,351.0,0.0
39,39,beijing_meo,2018-02-02 07:00:00,-1.5,1033.3,14.0,4.1,337.0,0.0
40,40,beijing_meo,2018-02-02 08:00:00,-1.5,1033.1,14.0,5.6,305.0,0.0
41,41,beijing_meo,2018-02-02 09:00:00,-1.8,1033.1,14.0,3.8,343.0,0.0
42,42,beijing_meo,2018-02-02 10:00:00,-2.3,1033.7,16.0,3.6,328.0,0.0
43,43,beijing_meo,2018-02-02 11:00:00,-2.6,1034.1,17.0,2.9,325.0,0.0
44,44,beijing_meo,2018-02-02 12:00:00,-2.8,1034.6,16.0,2.1,340.0,0.0
45,45,beijing_meo,2018-02-02 13:00:00,-4.0,1035.1,19.0,1.9,36.0,0.0
46,46,beijing_meo,2018-02-02 14:00:00,-4.7,1035.5,19.0,4.5,44.0,0.0
47,47,beijing_meo,2018-02-02 15:00:00,-5.5,1035.6,21.0,1.7,40.0,0.0
48,48,beijing_meo,2018-02-02 16:00:00,-6.5,1035.7,23.0,1.0,27.0,0.0
49,49,beijing_meo,2018-02-02 17:00:00,-7.6,1035.3,27.0,0.9,50.0,0.0
50,50,beijing_meo,2018-02-02 18:00:00,-7.1,1035.4,26.0,1.3,45.0,0.0
51,51,beijing_meo,2018-02-02 19:00:00,-8.4,1035.2,30.0,1.0,61.0,0.0
52,52,beijing_meo,2018-02-02 20:00:00,-8.9,1034.8,32.0,0.7,44.0,0.0
53,53,beijing_meo,2018-02-02 21:00:00,-8.1,1034.5,29.0,1.2,351.0,0.0
54,54,beijing_meo,2018-02-02 22:00:00,-6.8,1034.4,26.0,1.5,345.0,0.0
55,55,beijing_meo,2018-02-02 23:00:00,-7.4,1034.3,26.0,1.3,7.0,0.0
56,56,beijing_meo,2018-02-03 00:00:00,-8.9,1034.6,33.0,0.5,207.0,0.0
57,57,beijing_meo,2018-02-03 01:00:00,-5.2,1034.4,26.0,1.6,296.0,0.0
58,58,beijing_meo,2018-02-03 02:00:00,-3.8,1034.0,21.0,1.6,300.0,0.0
59,59,beijing_meo,2018-02-03 03:00:00,-2.5,1033.4,19.0,2.0,318.0,0.0
60,60,beijing_meo,2018-02-03 04:00:00,-1.6,1032.6,17.0,2.2,295.0,0.0
61,61,beijing_meo,2018-02-03 05:00:00,-0.6,1031.5,14.0,4.3,306.0,0.0
62,62,beijing_meo,2018-02-03 06:00:00,0.2,1030.8,14.0,2.9,338.0,0.0
63,63,beijing_meo,2018-02-03 07:00:00,0.2,1030.7,14.0,3.6,335.0,0.0
64,64,beijing_meo,2018-02-03 08:00:00,0.3,1030.5,15.0,2.7,315.0,0.0
65,65,beijing_meo,2018-02-03 09:00:00,-0.5,1030.7,16.0,4.1,26.0,0.0
66,66,beijing_meo,2018-02-03 10:00:00,-1.7,1031.3,16.0,3.2,22.0,0.0
67,67,beijing_meo,2018-02-03 11:00:00,-2.2,1032.1,17.0,2.3,14.0,0.0
68,68,beijing_meo,2018-02-03 12:00:00,-2.6,1032.6,17.0,4.4,344.0,0.0
69,69,beijing_meo,2018-02-03 13:00:00,-3.4,1033.1,19.0,2.6,15.0,0.0
70,70,beijing_meo,2018-02-03 14:00:00,-4.5,1033.5,21.0,2.2,41.0,0.0
71,71,beijing_meo,2018-02-03 15:00:00,-4.8,1033.5,22.0,2.3,36.0,0.0
72,72,beijing_meo,2018-02-03 16:00:00,-5.1,1033.7,24.0,3.1,34.0,0.0
73,73,beijing_meo,2018-02-03 17:00:00,-6.1,1033.4,27.0,2.0,37.0,0.0
74,74,beijing_meo,2018-02-03 18:00:00,-7.5,1033.3,30.0,1.4,60.0,0.0
75,75,beijing_meo,2018-02-03 19:00:00,-8.6,1032.8,33.0,1.4,42.0,0.0
76,76,beijing_meo,2018-02-03 20:00:00,-10.2,1032.0,38.0,0.7,113.0,0.0
77,77,beijing_meo,2018-02-03 21:00:00,-10.9,1031.6,39.0,1.9,239.0,0.0
78,78,beijing_meo,2018-02-03 22:00:00,-9.5,1031.3,38.0,0.7,205.0,0.0
79,79,beijing_meo,2018-02-03 23:00:00,-9.0,1031.0,38.0,1.4,198.0,0.0
80,80,beijing_meo,2018-02-04 00:00:00,-8.4,1030.9,34.0,2.3,238.0,0.0
81,81,beijing_meo,2018-02-04 01:00:00,-6.1,1030.6,27.0,2.8,210.0,0.0
82,82,beijing_meo,2018-02-04 02:00:00,-4.2,1030.4,22.0,4.4,225.0,0.0
83,83,beijing_meo,2018-02-04 03:00:00,-2.9,1029.9,20.0,3.6,227.0,0.0
84,84,beijing_meo,2018-02-04 04:00:00,-1.5,1028.7,18.0,5.0,242.0,0.0
85,85,beijing_meo,2018-02-04 05:00:00,-0.2,1027.5,17.0,4.2,236.0,0.0
86,86,beijing_meo,2018-02-04 06:00:00,1.1,1026.5,16.0,3.2,217.0,0.0
87,87,beijing_meo,2018-02-04 07:00:00,1.5,1025.7,16.0,2.8,211.0,0.0
88,88,beijing_meo,2018-02-04 08:00:00,2.2,1025.1,16.0,2.6,223.0,0.0
89,89,beijing_meo,2018-02-04 09:00:00,1.4,1025.2,17.0,2.2,225.0,0.0
90,90,beijing_meo,2018-02-04 10:00:00,0.2,1025.7,19.0,1.6,97.0,0.0
91,91,beijing_meo,2018-02-04 11:00:00,-1.7,1026.7,24.0,1.7,54.0,0.0
92,92,beijing_meo,2018-02-04 12:00:00,-2.2,1027.8,25.0,1.9,33.0,0.0
93,93,beijing_meo,2018-02-04 13:00:00,-2.3,1028.4,24.0,1.6,36.0,0.0
94,94,beijing_meo,2018-02-04 14:00:00,-1.7,1029.1,22.0,3.2,34.0,0.0
95,95,beijing_meo,2018-02-04 15:00:00,-1.9,1029.6,21.0,4.4,19.0,0.0
96,96,beijing_meo,2018-02-04 16:00:00,-2.7,1030.0,21.0,1.9,23.0,0.0
97,97,beijing_meo,2018-02-04 17:00:00,-3.4,1030.1,21.0,5.1,25.0,0.0
98,98,beijing_meo,2018-02-04 18:00:00,-3.7,1030.2,22.0,3.7,27.0,0.0
99,99,beijing_meo,2018-02-04 19:00:00,-4.6,1030.5,24.0,3.4,46.0,0.0
100,100,beijing_meo,2018-02-04 20:00:00,-6.2,1030.7,29.0,4.7,52.0,0.0
101,101,beijing_meo,2018-02-04 21:00:00,-7.2,1030.9,30.0,3.5,46.0,0.0
102,102,beijing_meo,2018-02-04 22:00:00,-7.8,1031.1,29.0,4.3,56.0,0.0
103,103,beijing_meo,2018-02-04 23:00:00,-8.2,1031.6,30.0,4.0,60.0,0.0
104,104,beijing_meo,2018-02-05 00:00:00,-8.1,1032.2,29.0,2.8,63.0,0.0
105,105,beijing_meo,2018-02-05 01:00:00,-6.9,1032.3,25.0,3.7,43.0,0.0
106,106,beijing_meo,2018-02-05 02:00:00,-5.4,1032.1,20.0,4.5,28.0,0.0
107,107,beijing_meo,2018-02-05 03:00:00,-3.6,1031.9,19.0,4.9,25.0,0.0
108,108,beijing_meo,2018-02-05 04:00:00,-3.0,1031.0,18.0,4.9,19.0,0.0
109,109,beijing_meo,2018-02-05 05:00:00,-2.0,1029.7,15.0,5.3,12.0,0.0
110,110,beijing_meo,2018-02-05 06:00:00,-1.4,1028.6,13.0,6.0,25.0,0.0
111,111,beijing_meo,2018-02-05 07:00:00,-0.6,1028.0,12.0,6.1,20.0,0.0
112,112,beijing_meo,2018-02-05 08:00:00,-0.5,1028.0,12.0,5.3,7.0,0.0
113,113,beijing_meo,2018-02-05 09:00:00,-0.6,1028.0,13.0,4.0,15.0,0.0
114,114,beijing_meo,2018-02-05 10:00:00,-2.2,1028.6,15.0,3.7,85.0,0.0
115,115,beijing_meo,2018-02-05 11:00:00,-3.5,1029.7,16.0,1.5,127.0,0.0
116,116,beijing_meo,2018-02-05 12:00:00,-4.6,1030.0,18.0,1.5,88.0,0.0
117,117,beijing_meo,2018-02-05 13:00:00,-4.8,1030.5,17.0,2.2,89.0,0.0
118,118,beijing_meo,2018-02-05 14:00:00,-5.6,1030.6,19.0,1.3,81.0,0.0
119,119,beijing_meo,2018-02-05 15:00:00,-6.4,1030.3,21.0,2.1,53.0,0.0
120,120,beijing_meo,2018-02-05 16:00:00,-7.9,1029.9,26.0,1.5,44.0,0.0
121,121,beijing_meo,2018-02-05 17:00:00,-9.2,1029.7,29.0,0.0,999017.0,0.0
122,122,beijing_meo,2018-02-05 18:00:00,-11.0,1029.2,35.0,0.0,999017.0,0.0
123,123,beijing_meo,2018-02-05 19:00:00,-11.1,1028.6,34.0,1.3,225.0,0.0
124,124,beijing_meo,2018-02-05 20:00:00,-11.6,1028.1,42.0,0.5,204.0,0.0
125,125,beijing_meo,2018-02-05 21:00:00,-12.0,1027.8,43.0,0.4,158.0,0.0
126,126,beijing_meo,2018-02-05 22:00:00,-11.7,1027.5,43.0,0.9,226.0,0.0
127,127,beijing_meo,2018-02-05 23:00:00,-11.7,1027.6,45.0,0.7,115.0,0.0
128,128,beijing_meo,2018-02-06 00:00:00,-10.7,1027.6,43.0,0.0,999017.0,0.0
129,129,beijing_meo,2018-02-06 01:00:00,-5.7,1027.5,23.0,1.8,253.0,0.0
130,130,beijing_meo,2018-02-06 02:00:00,-4.3,1027.0,23.0,2.6,195.0,0.0
131,131,beijing_meo,2018-02-06 03:00:00,-2.6,1026.2,23.0,2.1,188.0,0.0
132,132,beijing_meo,2018-02-06 04:00:00,-1.4,1024.7,22.0,3.2,267.0,0.0
133,133,beijing_meo,2018-02-06 05:00:00,0.1,1023.0,21.0,3.8,203.0,9.0
134,134,beijing_meo,2018-02-06 06:00:00,0.8,1021.6,21.0,5.0,208.0,9.0
135,135,beijing_meo,2018-02-06 07:00:00,1.5,1020.7,21.0,4.3,238.0,9.0
136,136,beijing_meo,2018-02-06 08:00:00,1.6,1020.3,22.0,3.8,224.0,9.0
137,137,beijing_meo,2018-02-06 09:00:00,0.9,1019.9,23.0,3.8,229.0,0.0
138,138,beijing_meo,2018-02-06 10:00:00,-0.5,1020.2,26.0,1.4,206.0,0.0
139,139,beijing_meo,2018-02-06 11:00:00,-1.1,1020.3,28.0,2.5,202.0,0.0
140,140,beijing_meo,2018-02-06 12:00:00,-1.6,1020.0,30.0,2.8,216.0,0.0
141,141,beijing_meo,2018-02-06 13:00:00,-2.5,1020.4,31.0,1.1,239.0,0.0
142,142,beijing_meo,2018-02-06 14:00:00,-2.6,1020.1,32.0,1.6,235.0,0.0
143,143,beijing_meo,2018-02-06 15:00:00,-2.6,1019.5,32.0,2.0,201.0,0.0
144,144,beijing_meo,2018-02-06 16:00:00,-3.9,1019.5,35.0,0.8,165.0,0.0
145,145,beijing_meo,2018-02-06 17:00:00,-6.1,1019.3,42.0,1.1,45.0,9.0
146,146,beijing_meo,2018-02-06 18:00:00,-5.3,1019.3,41.0,1.2,63.0,0.0
147,147,beijing_meo,2018-02-06 19:00:00,-6.1,1019.0,50.0,2.6,69.0,9.0
148,148,beijing_meo,2018-02-06 20:00:00,-7.0,1019.3,63.0,2.1,67.0,9.0
149,149,beijing_meo,2018-02-06 21:00:00,-7.2,1019.8,67.0,2.7,65.0,9.0
150,150,beijing_meo,2018-02-06 22:00:00,-7.9,1020.4,70.0,0.7,21.0,0.0
151,151,beijing_meo,2018-02-06 23:00:00,-6.6,1021.2,60.0,2.4,6.0,9.0
152,152,beijing_meo,2018-02-07 00:00:00,-3.0,1022.4,26.0,2.6,345.0,0.0
153,153,beijing_meo,2018-02-07 01:00:00,-2.9,1023.4,21.0,8.1,351.0,0.0
154,154,beijing_meo,2018-02-07 02:00:00,-2.6,1024.0,19.0,7.0,335.0,0.0
155,155,beijing_meo,2018-02-07 03:00:00,-2.1,1024.6,18.0,7.4,339.0,0.0
156,156,beijing_meo,2018-02-07 04:00:00,-1.1,1024.4,19.0,4.8,332.0,0.0
157,157,beijing_meo,2018-02-07 05:00:00,0.1,1023.9,17.0,3.5,353.0,0.0
158,158,beijing_meo,2018-02-07 06:00:00,0.2,1023.7,16.0,6.0,344.0,0.0
