station_id,latitude,longitude,district_id
A1001,40.090679,116.173553,101
A1002,40.00395,116.20531,101
A1003,39.914409,116.184239,102
A1004,39.815128,116.17115,103
A1005,39.742767,116.136045,104
A1006,39.987313,116.287451,101
A1007,39.982053,116.3974,105
A1008,39.954047,116.348991,101
A1009,39.878193,116.351974,106
A1010,39.876184,116.394009,103
A1011,39.855958,116.36781,103
A1012,39.937119,116.460742,105
A1013,39.929287,116.416883,107
A1014,39.939554,116.483746,105
A1015,39.929302,116.351029,106
A1016,39.86347,116.279082,103
A1017,39.718147,116.406155,108
A1018,39.794491,116.506319,108
A1019,39.885241,116.664162,109
A1020,39.886491,116.407355,107
A1021,39.899135,116.395383,107
A1022,39.920993,116.443448,105
A1023,40.127,116.655,110
A1024,40.216999,116.23,111
A1025,39.936999,116.105999,112
A1026,40.143,117.099999,113
A1027,40.328,116.628,114
A1028,40.369999,116.831999,115
A1029,40.453,115.971999,116
A1030,40.292,116.22,111
A1031,40.365,115.988,116
A1032,40.499,116.911,115
A1033,40.1,117.12,113
A1034,39.712,116.783,109
A1035,39.52,116.3,108
A1036,39.579999,116,104
