station_id,name,latitude,longitude
M101,hadian_meo,39.95933,116.29845
M102,shijingshan_meo,39.90569,116.22299
M103,fengtai_meo,39.85856,116.28616
M104,fangshan_meo,39.74788,116.14294
M105,chaoyang_meo,39.9219,116.44355
M106,xicheng_meo,39.91231,116.36611
M107,dongcheng_meo,39.92855,116.41637
M108,daxing_meo,39.72684,116.34159
M109,tongzhou_meo,39.90998,116.65714
M110,shunyi_meo,40.13012,116.65477
M111,pingchang_meo,40.22077,116.23128
M112,mentougou_meo,39.94048,116.10146
M113,pinggu_meo,40.14062,117.12141
M114,huairou_meo,40.316,116.63177
M115,miyun_meo,40.37625,116.84317
M116,yanqing_meo,40.45678,115.97503
