station_id,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2018/1/31 16:00,49,82,90,0.9,6,10
aotizhongxin_aq,2018/1/31 17:00,47,80,90,0.9,5,10
aotizhongxin_aq,2018/1/31 18:00,46,91,91,1.3,5,28
aotizhongxin_aq,2018/1/31 19:00,60,95,85,2,6,38
aotizhongxin_aq,2018/1/31 20:00,52,91,81,1.9,5,30
aotizhongxin_aq,2018/1/31 21:00,38,80,72,1.2,4,14
aotizhongxin_aq,2018/1/31 22:00,30,70,70,0.9,3,8
aotizhongxin_aq,2018/1/31 23:00,29,75,73,0.8,3,10
aotizhongxin_aq,2018/2/1 0:00,26,79,73,0.9,4,7
aotizhongxin_aq,2018/2/1 1:00,28,95,73,1.1,7,10
aotizhongxin_aq,2018/2/1 2:00,38,96,59,1.1,21,20
aotizhongxin_aq,2018/2/1 3:00,43,102,50,1.1,34,22
aotizhongxin_aq,2018/2/1 4:00,48,110,47,1.1,42,20
aotizhongxin_aq,2018/2/1 5:00,42,120,29,0.7,62,13
aotizhongxin_aq,2018/2/1 6:00,32,124,21,0.5,73,12
aotizhongxin_aq,2018/2/1 7:00,33,131,19,0.4,78,11
aotizhongxin_aq,2018/2/1 8:00,29,110,21,0.4,75,10
aotizhongxin_aq,2018/2/1 9:00,27,100,24,0.4,69,10
aotizhongxin_aq,2018/2/1 10:00,24,90,22,0.4,71,5
aotizhongxin_aq,2018/2/1 11:00,16,76,23,0.3,67,3
aotizhongxin_aq,2018/2/1 12:00,14,49,23,0.3,66,3
aotizhongxin_aq,2018/2/1 13:00,9,38,15,0.3,71,2
aotizhongxin_aq,2018/2/1 14:00,6,35,11,0.2,74,2
aotizhongxin_aq,2018/2/1 15:00,6,32,10,0.2,74,2
aotizhongxin_aq,2018/2/1 16:00,9,38,18,0.2,61,2
aotizhongxin_aq,2018/2/1 17:00,10,46,18,0.2,62,2
aotizhongxin_aq,2018/2/1 18:00,8,34,24,0.2,54,2
aotizhongxin_aq,2018/2/1 19:00,8,27,22,0.2,55,3
aotizhongxin_aq,2018/2/1 20:00,8,25,20,0.3,,4
aotizhongxin_aq,2018/2/1 21:00,7,34,16,0.2,56,4
aotizhongxin_aq,2018/2/1 22:00,7,32,19,0.2,55,2
aotizhongxin_aq,2018/2/1 23:00,5,19,12,0.2,67,2
aotizhongxin_aq,2018/2/2 0:00,6,21,11,0.2,68,5
aotizhongxin_aq,2018/2/2 1:00,6,25,15,0.2,63,4
aotizhongxin_aq,2018/2/2 2:00,7,28,13,0.3,66,5
aotizhongxin_aq,2018/2/2 3:00,7,24,8,0.3,73,4
aotizhongxin_aq,2018/2/2 4:00,7,28,6,0.3,76,4
aotizhongxin_aq,2018/2/2 5:00,13,29,6,0.2,77,3
aotizhongxin_aq,2018/2/2 6:00,11,37,6,0.2,77,3
aotizhongxin_aq,2018/2/2 7:00,7,37,5,0.2,79,3
aotizhongxin_aq,2018/2/2 8:00,5,34,5,0.2,80,3
aotizhongxin_aq,2018/2/2 9:00,9,33,8,0.2,77,3
aotizhongxin_aq,2018/2/2 10:00,8,36,13,0.2,71,3
aotizhongxin_aq,2018/2/2 11:00,11,33,17,0.2,66,4
aotizhongxin_aq,2018/2/2 12:00,12,35,26,0.3,55,4
aotizhongxin_aq,2018/2/2 13:00,13,30,18,0.4,63,9
aotizhongxin_aq,2018/2/2 14:00,12,22,18,0.3,62,7
