,station_id,row,data,realY,esti_data
0,A1001,876,116.0,116.0,83.10714429330243
1,A1001,877,58.0,58.0,83.10714429330243
2,A1001,878,4.0,4.0,83.10714429330243
3,A1001,879,5.0,5.0,83.10714429330243
4,A1001,880,5.0,5.0,83.10714429330243
5,A1001,881,5.0,5.0,83.10714429330243
6,A1001,882,10.0,10.0,83.10714429330243
7,A1001,883,6.0,6.0,83.10714429330243
8,A1001,884,9.0,9.0,83.10714429330243
9,A1001,885,9.0,9.0,83.10714429330243
10,A1001,886,7.0,7.0,83.10714429330243
11,A1001,887,10.0,10.0,83.10714429330243
12,A1001,888,11.0,11.0,83.10714429330243
13,A1001,889,14.0,14.0,83.10714429330243
14,A1001,890,16.0,16.0,83.10714429330243
15,A1001,891,10.0,10.0,83.10714429330243
16,A1001,892,6.0,6.0,83.10714429330243
17,A1001,893,8.0,8.0,83.10714429330243
18,A1001,894,6.0,6.0,83.10714429330243
19,A1001,895,9.0,9.0,83.10714429330243
20,A1001,896,13.0,13.0,83.10714429330243
21,A1001,897,10.0,10.0,83.10714429330243
22,A1001,898,3.0,3.0,83.10714429330243
23,A1001,899,3.0,3.0,83.10714429330243
24,A1001,900,3.0,3.0,83.10714429330243
25,A1001,901,4.0,4.0,83.10714429330243
26,A1001,902,3.0,3.0,83.10714429330243
27,A1001,903,3.0,3.0,83.10714429330243
28,A1001,904,4.0,4.0,83.10714429330243
29,A1001,905,3.0,3.0,83.10714429330243
30,A1001,906,7.0,7.0,83.10714429330243
31,A1001,907,5.0,5.0,83.10714429330243
32,A1001,908,3.0,3.0,83.10714429330243
33,A1001,909,11.0,11.0,83.10714429330243
34,A1001,910,13.0,13.0,83.10714429330243
35,A1001,911,20.0,20.0,83.10714429330243
36,A1001,912,9.0,9.0,83.10714429330243
37,A1001,913,31.0,31.0,83.10714429330243
38,A1001,914,20.0,20.0,83.10714429330243
39,A1001,915,15.0,15.0,83.10714429330243
40,A1001,916,13.0,13.0,83.10714429330243
41,A1001,917,17.0,17.0,83.10714429330243
42,A1001,918,19.0,19.0,83.10714429330243
43,A1001,919,10.0,10.0,83.10714429330243
44,A1001,920,14.0,14.0,83.10714429330243
