,station_id,row,data,realY,esti_data
0,A1001,798,42.2,42.2,40.199999999999996
1,A1001,870,81.9,81.9,71.34545454545456
2,A1001,876,58.7,58.7,56.4
3,A1001,877,29.2,29.2,56.4
4,A1001,878,13.6,13.6,52.75
5,A1001,879,10.2,10.2,51.6
6,A1001,880,10.2,10.2,50.35
7,A1001,881,9.7,9.7,53.2
8,A1001,882,16.1,16.1,51.69294403476653
9,A1001,883,29.3,29.3,51.69294403476653
10,A1001,884,29.9,29.9,51.69294403476653
11,A1001,885,29.2,29.2,51.69294403476653
12,A1001,886,29.4,29.4,51.69294403476653
13,A1001,887,35.4,35.4,51.69294403476653
14,A1001,888,33.9,33.9,51.69294403476653
15,A1001,889,32.1,32.1,51.69294403476653
16,A1001,890,29.3,29.3,51.69294403476653
17,A1001,891,28.3,28.3,51.69294403476653
18,A1001,892,23.1,23.1,51.69294403476653
19,A1001,893,20.9,20.9,51.69294403476653
20,A1001,894,25.9,25.9,51.69294403476653
21,A1001,895,26.8,26.8,51.69294403476653
22,A1001,896,28.2,28.2,51.69294403476653
23,A1001,897,26.2,26.2,51.69294403476653
24,A1001,898,9.7,9.7,51.69294403476653
25,A1001,899,6.6,6.6,51.69294403476653
26,A1001,900,7.1,7.1,51.69294403476653
27,A1001,901,7.1,7.1,51.69294403476653
28,A1001,902,7.4,7.4,51.69294403476653
29,A1001,903,6.4,6.4,51.69294403476653
30,A1001,904,6.0,6.0,51.69294403476653
31,A1001,905,6.9,6.9,51.69294403476653
32,A1001,906,6.7,6.7,51.69294403476653
33,A1001,907,8.2,8.2,51.69294403476653
34,A1001,908,15.2,15.2,51.69294403476653
35,A1001,909,27.9,27.9,51.69294403476653
36,A1001,910,35.5,35.5,51.69294403476653
37,A1001,911,42.1,42.1,51.69294403476653
38,A1001,912,46.4,46.4,51.69294403476653
39,A1001,913,43.2,43.2,51.69294403476653
40,A1001,914,34.4,34.4,51.69294403476653
41,A1001,915,35.0,35.0,51.69294403476653
42,A1001,916,31.3,31.3,51.69294403476653
43,A1001,917,33.1,33.1,51.69294403476653
44,A1001,919,48.7,48.7,14.4
45,A1001,920,42.6,42.6,17.8
46,A1001,921,44.4,44.4,20.333333333333332
47,A1001,922,54.0,54.0,20.15
48,A1001,923,34.9,34.9,18.7
49,A1001,924,18.2,18.2,20.616666666666667
50,A1001,942,43.6,43.6,44.475
51,A1001,1014,58.2,58.2,50.51818181818181
52,A1001,1019,24.8,24.8,26.811111111111114
53,A1001,1158,17.6,17.6,28.63333333333333
54,A1001,1218,11.9,11.9,21.25
55,A1001,1230,61.4,61.4,49.88333333333335
56,A1001,1302,53.8,53.8,47.333333333333336
57,A1001,1374,26.4,26.4,36.741666666666674
58,A1001,1446,25.3,25.3,36.64545454545455
59,A1001,1525,15.8,15.8,27.55
60,A1001,1526,17.7,17.7,30.2
61,A1001,1527,21.7,21.7,32.9
62,A1001,1528,28.2,28.2,34.07142857142857
63,A1001,1538,31.0,31.0,37.94285714285714
64,A1001,1546,18.3,18.3,15.9
65,A1001,1547,13.4,13.4,13.9
66,A1001,1554,13.4,13.4,16.325
67,A1001,1563,31.9,31.9,24.3
68,A1001,1564,38.1,38.1,26.157142857142862
69,A1001,1566,31.6,31.6,26.142857142857146
70,A1001,1567,39.4,39.4,25.75714285714286
71,A1001,1568,36.2,36.2,25.071428571428573
72,A1001,1570,21.8,21.8,21.675
73,A1001,1638,43.1,43.1,34.85
74,A1001,1710,74.0,74.0,55.972727272727276
75,A1001,1744,13.0,13.0,19.5
76,A1001,1745,13.3,13.3,25.112499999999997
77,A1001,1746,17.0,17.0,28.549999999999997
78,A1001,1747,20.9,20.9,34.3
79,A1001,1748,44.1,44.1,38.887499999999996
80,A1001,1854,33.7,33.7,25.759999999999998
81,A1001,1858,31.1,31.1,27.325000000000003
82,A1001,1926,23.9,23.9,16.881818181818183
83,A1001,1998,47.8,47.8,46.57272727272728
84,A1001,2070,54.5,54.5,51.92499999999999
85,A1001,2171,18.9,18.9,17.414285714285715
86,A1001,2173,20.2,20.2,16.740000000000002
87,A1001,2174,18.5,18.5,17.075
88,A1001,2175,18.2,18.2,18.2
89,A1001,2176,16.8,16.8,19.15
90,A1001,2177,17.9,17.9,18.3
91,A1001,2178,21.3,21.3,28.950000000000003
92,A1001,2179,27.3,27.3,42.5
93,A1001,2180,28.2,28.2,41.36666666666667
94,A1001,2181,31.9,31.9,41.349999999999994
