,station_id,row,data,realY,esti_data
0,A1001,798,42.2,42.2,76.1
1,A1001,870,81.9,81.9,104.58000000000001
2,A1001,876,58.7,58.7,76.56
3,A1001,877,29.2,29.2,43.260000000000005
4,A1001,878,13.6,13.6,10.260000000000002
5,A1001,879,10.2,10.2,12.040000000000001
6,A1001,880,10.2,10.2,14.440000000000001
7,A1001,881,9.7,9.7,15.36
8,A1001,882,16.1,16.1,16.139999999999997
9,A1001,883,29.3,29.3,25.78
10,A1001,884,29.9,29.9,20.68
11,A1001,885,29.2,29.2,31.28
12,A1001,886,29.4,29.4,35.160000000000004
13,A1001,887,35.4,35.4,53.42
14,A1001,888,33.9,33.9,57.1
15,A1001,889,32.1,32.1,58.86
16,A1001,890,29.3,29.3,62.8
17,A1001,891,28.3,28.3,54.54
18,A1001,892,23.1,23.1,56.36
19,A1001,893,20.9,20.9,30.339999999999996
20,A1001,894,25.9,25.9,56.36
21,A1001,895,26.8,26.8,34.3
22,A1001,896,28.2,28.2,50.7
23,A1001,897,26.2,26.2,25.5
24,A1001,898,9.7,9.7,12.780000000000001
25,A1001,899,6.6,6.6,16.82
26,A1001,900,7.1,7.1,10.4
27,A1001,901,7.1,7.1,10.72
28,A1001,902,7.4,7.4,7.080000000000001
29,A1001,903,6.4,6.4,15.960000000000003
30,A1001,904,6.0,6.0,12.32
31,A1001,905,6.9,6.9,11.66
32,A1001,906,6.7,6.7,16.66
33,A1001,907,8.2,8.2,5.62
34,A1001,908,15.2,15.2,10.88
35,A1001,909,27.9,27.9,20.44
36,A1001,910,35.5,35.5,29.04
37,A1001,911,42.1,42.1,40.4
38,A1001,912,46.4,46.4,42.239999999999995
39,A1001,913,43.2,43.2,93.5
40,A1001,914,34.4,34.4,44.18
41,A1001,915,35.0,35.0,49.38
42,A1001,916,31.3,31.3,51.32000000000001
43,A1001,917,33.1,33.1,19.380000000000003
44,A1001,919,48.7,48.7,58.580000000000005
45,A1001,920,42.6,42.6,75.14000000000001
46,A1001,921,44.4,44.4,73.7
47,A1001,922,54.0,54.0,38.56
48,A1001,923,34.9,34.9,36.58
49,A1001,924,18.2,18.2,21.38
50,A1001,942,43.6,43.6,52.56
51,A1001,1014,58.2,58.2,91.38
52,A1001,1019,24.8,24.8,29.28
53,A1001,1158,17.6,17.6,60.339999999999996
54,A1001,1218,11.9,11.9,17.419999999999998
55,A1001,1230,61.4,61.4,62.419999999999995
56,A1001,1302,53.8,53.8,83.47999999999999
57,A1001,1374,26.4,26.4,39.1
58,A1001,1446,25.3,25.3,48.98
59,A1001,1525,15.8,15.8,43.81999999999999
60,A1001,1526,17.7,17.7,35.48
61,A1001,1527,21.7,21.7,41.08
62,A1001,1528,28.2,28.2,31.02
63,A1001,1538,31.0,31.0,91.97999999999999
64,A1001,1546,18.3,18.3,67.52
65,A1001,1547,13.4,13.4,50.44
66,A1001,1554,13.4,13.4,22.7
67,A1001,1563,31.9,31.9,51.48
68,A1001,1564,38.1,38.1,52.660000000000004
69,A1001,1566,31.6,31.6,73.26
70,A1001,1567,39.4,39.4,112.94000000000001
71,A1001,1568,36.2,36.2,67.52000000000001
72,A1001,1570,21.8,21.8,70.56
73,A1001,1638,43.1,43.1,54.0
74,A1001,1710,74.0,74.0,87.02000000000001
75,A1001,1744,13.0,13.0,9.940000000000001
76,A1001,1745,13.3,13.3,9.6
77,A1001,1746,17.0,17.0,6.4
78,A1001,1747,20.9,20.9,28.779999999999994
79,A1001,1748,44.1,44.1,14.5
80,A1001,1854,33.7,33.7,50.94
81,A1001,1858,31.1,31.1,74.67999999999999
82,A1001,1926,23.9,23.9,72.86
83,A1001,1998,47.8,47.8,53.02
84,A1001,2070,54.5,54.5,52.52
85,A1001,2171,18.9,18.9,35.94
86,A1001,2173,20.2,20.2,40.78
87,A1001,2174,18.5,18.5,47.1
88,A1001,2175,18.2,18.2,41.4
89,A1001,2176,16.8,16.8,35.56
90,A1001,2177,17.9,17.9,16.6
91,A1001,2178,21.3,21.3,51.52
92,A1001,2179,27.3,27.3,34.58
93,A1001,2180,28.2,28.2,22.04
94,A1001,2181,31.9,31.9,41.66
95,A1001,2182,34.5,34.5,51.879999999999995
96,A1001,2183,34.5,34.5,45.42
97,A1001,2208,34.0,34.0,44.120000000000005
98,A1001,2209,52.4,52.4,52.839999999999996
99,A1001,2210,45.1,45.1,75.2
100,A1001,2211,29.4,29.4,58.46
101,A1001,2212,33.4,33.4,88.24000000000001
102,A1001,2213,34.7,34.7,78.98
103,A1001,2214,48.8,48.8,61.1
104,A1001,2215,53.3,53.3,62.15999999999999
105,A1001,2216,57.0,57.0,93.55999999999999
106,A1001,2217,56.3,56.3,71.08
107,A1001,2218,55.8,55.8,65.28
108,A1001,2219,57.8,57.8,77.55999999999999
109,A1001,2220,51.9,51.9,30.560000000000002
110,A1001,2221,40.1,40.1,56.02
111,A1001,2222,35.4,35.4,50.6
112,A1001,2223,31.9,31.9,33.54
113,A1001,2224,26.1,26.1,31.919999999999998
