,station_id,row,data,realY,esti_data
0,A1001,876,116.0,116.0,140.0
1,A1001,877,58.0,58.0,81.2
2,A1001,878,4.0,4.0,3.8
3,A1001,879,5.0,5.0,11.4
4,A1001,880,5.0,5.0,8.4
5,A1001,881,5.0,5.0,29.6
6,A1001,882,10.0,10.0,61.0
7,A1001,883,6.0,6.0,99.4
8,A1001,884,9.0,9.0,80.0
9,A1001,885,9.0,9.0,72.8
10,A1001,886,7.0,7.0,120.0
11,A1001,887,10.0,10.0,114.0
12,A1001,888,11.0,11.0,88.4
13,A1001,889,14.0,14.0,81.4
14,A1001,890,16.0,16.0,78.2
15,A1001,891,10.0,10.0,81.4
16,A1001,892,6.0,6.0,149.8
17,A1001,893,8.0,8.0,143.6
18,A1001,894,6.0,6.0,77.4
19,A1001,895,9.0,9.0,70.4
20,A1001,896,13.0,13.0,99.0
21,A1001,897,10.0,10.0,90.0
22,A1001,898,3.0,3.0,20.8
23,A1001,899,3.0,3.0,19.0
24,A1001,900,3.0,3.0,32.4
25,A1001,901,4.0,4.0,77.2
26,A1001,902,3.0,3.0,104.4
27,A1001,903,3.0,3.0,28.8
28,A1001,904,4.0,4.0,106.6
29,A1001,905,3.0,3.0,65.2
30,A1001,906,7.0,7.0,112.8
31,A1001,907,5.0,5.0,40.6
32,A1001,908,3.0,3.0,71.8
33,A1001,909,11.0,11.0,59.2
34,A1001,910,13.0,13.0,105.8
35,A1001,911,20.0,20.0,68.6
36,A1001,912,9.0,9.0,102.4
37,A1001,913,31.0,31.0,64.0
38,A1001,914,20.0,20.0,81.4
39,A1001,915,15.0,15.0,39.8
40,A1001,916,13.0,13.0,69.0
41,A1001,917,17.0,17.0,57.4
42,A1001,918,19.0,19.0,25.6
43,A1001,919,10.0,10.0,21.8
44,A1001,920,14.0,14.0,24.6
45,A1001,921,23.0,23.0,59.4
46,A1001,922,29.0,29.0,20.2
47,A1001,923,21.0,21.0,62.4
48,A1001,924,26.0,26.0,16.4
49,A1001,1218,13.0,13.0,82.4
50,A1001,1363,92.0,92.0,73.8
51,A1001,1525,150.0,150.0,71.6
52,A1001,1526,155.0,155.0,68.6
53,A1001,1527,172.0,172.0,76.2
54,A1001,1538,144.0,144.0,54.0
55,A1001,1546,142.0,142.0,87.8
56,A1001,1547,175.0,175.0,61.2
57,A1001,1554,110.0,110.0,86.6
58,A1001,1563,138.0,138.0,35.4
59,A1001,1564,141.0,141.0,57.4
60,A1001,1567,122.0,122.0,45.8
61,A1001,1568,141.0,141.0,24.0
62,A1001,1570,145.0,145.0,69.6
63,A1001,1744,11.0,11.0,14.6
64,A1001,1745,11.0,11.0,16.2
65,A1001,1746,9.0,9.0,18.2
66,A1001,1747,14.0,14.0,34.8
67,A1001,1748,16.0,16.0,69.0
68,A1001,2171,84.0,84.0,18.8
69,A1001,2173,142.0,142.0,95.4
70,A1001,2174,137.0,137.0,45.6
71,A1001,2175,135.0,135.0,65.6
72,A1001,2176,136.0,136.0,55.2
73,A1001,2177,133.0,133.0,81.4
74,A1001,2178,150.0,150.0,41.2
75,A1001,2179,148.0,148.0,93.8
76,A1001,2180,146.0,146.0,44.0
77,A1001,2181,147.0,147.0,43.6
78,A1001,2182,163.0,163.0,153.8
79,A1001,2183,148.0,148.0,82.2
80,A1001,2208,150.0,150.0,128.4
81,A1001,2209,162.0,162.0,72.2
82,A1001,2210,166.0,166.0,72.0
83,A1001,2211,180.0,180.0,47.8
84,A1001,2212,170.0,170.0,44.2
85,A1001,2213,164.0,164.0,93.4
86,A1001,2214,143.0,143.0,48.4
87,A1001,2215,134.0,134.0,130.0
88,A1001,2216,146.0,146.0,77.0
89,A1001,2217,153.0,153.0,72.6
90,A1001,2218,172.0,172.0,63.6
91,A1001,2219,181.0,181.0,57.4
92,A1001,2220,187.0,187.0,83.0
93,A1001,2221,179.0,179.0,58.8
94,A1001,2222,174.0,174.0,106.2
