,station_id,row,data,realY,esti_data
0,A1001,798,42.2,42.2,69.09167149411755
1,A1001,870,81.9,81.9,96.41074382638676
2,A1001,876,58.7,58.7,78.59057443809648
3,A1001,877,29.2,29.2,52.86306491963821
4,A1001,878,13.6,13.6,13.303407374308794
5,A1001,879,10.2,10.2,11.281613364690369
6,A1001,880,10.2,10.2,11.96365736124219
7,A1001,881,9.7,9.7,11.589229454006249
8,A1001,882,16.1,16.1,17.134244006777656
9,A1001,883,29.3,29.3,21.02616089036056
10,A1001,884,29.9,29.9,26.584773086201018
11,A1001,885,29.2,29.2,30.418843335396893
12,A1001,886,29.4,29.4,37.385343924154654
13,A1001,887,35.4,35.4,51.49407656113825
14,A1001,888,33.9,33.9,51.40273832551063
15,A1001,889,32.1,32.1,56.19112013376726
16,A1001,890,29.3,29.3,56.52446583298998
17,A1001,891,28.3,28.3,50.759055219582734
18,A1001,892,23.1,23.1,50.73775043954051
19,A1001,893,20.9,20.9,49.27542406002738
20,A1001,894,25.9,25.9,50.73775043954051
21,A1001,895,26.8,26.8,50.14125519913425
22,A1001,896,28.2,28.2,53.01822620052344
23,A1001,897,26.2,26.2,25.351182710365574
24,A1001,898,9.7,9.7,7.990702672071404
25,A1001,899,6.6,6.6,9.315169876474672
26,A1001,900,7.1,7.1,9.315169876474672
27,A1001,901,7.1,7.1,9.315169876474672
28,A1001,902,7.4,7.4,9.315169876474672
29,A1001,903,6.4,6.4,9.452003917496054
30,A1001,904,6.0,6.0,9.452003917496054
31,A1001,905,6.9,6.9,9.315169876474672
32,A1001,906,6.7,6.7,10.318091757217276
33,A1001,907,8.2,8.2,8.87984630415448
34,A1001,908,15.2,15.2,9.315169876474672
35,A1001,909,27.9,27.9,14.728669388503542
36,A1001,910,35.5,35.5,23.809276379578964
37,A1001,911,42.1,42.1,39.63334417135512
38,A1001,912,46.4,46.4,37.126753239016956
39,A1001,913,43.2,43.2,59.3321365464425
40,A1001,914,34.4,34.4,52.14896028058722
41,A1001,915,35.0,35.0,47.79226910306162
42,A1001,916,31.3,31.3,49.93054989323503
43,A1001,917,33.1,33.1,17.566695596011233
44,A1001,919,48.7,48.7,55.1862336805744
45,A1001,920,42.6,42.6,55.98067464109973
46,A1001,921,44.4,44.4,63.450352626603944
47,A1001,922,54.0,54.0,45.104919778673974
48,A1001,923,34.9,34.9,30.712779470305055
49,A1001,924,18.2,18.2,23.450578214716785
50,A1001,942,43.6,43.6,61.792821736150195
51,A1001,1014,58.2,58.2,73.74882923263263
52,A1001,1019,24.8,24.8,26.6975501773417
53,A1001,1158,17.6,17.6,49.240986189568964
54,A1001,1218,11.9,11.9,17.675750050810276
55,A1001,1230,61.4,61.4,66.42786314670936
56,A1001,1302,53.8,53.8,43.79394095945151
57,A1001,1374,26.4,26.4,31.027380316949895
58,A1001,1446,25.3,25.3,45.045947723512825
59,A1001,1525,15.8,15.8,44.30825995321125
60,A1001,1526,17.7,17.7,36.83492847902234
61,A1001,1527,21.7,21.7,27.166032750936342
62,A1001,1528,28.2,28.2,31.365417542567435
63,A1001,1538,31.0,31.0,95.56926178539891
64,A1001,1546,18.3,18.3,62.975011998723964
65,A1001,1547,13.4,13.4,49.369557685510266
66,A1001,1554,13.4,13.4,28.62490491484616
67,A1001,1563,31.9,31.9,89.16436073015052
68,A1001,1564,38.1,38.1,72.03564102380419
69,A1001,1566,31.6,31.6,92.59652371966995
70,A1001,1567,39.4,39.4,85.70610506249383
71,A1001,1568,36.2,36.2,78.40825994452254
72,A1001,1570,21.8,21.8,66.53547281239317
73,A1001,1638,43.1,43.1,57.13168608368268
74,A1001,1710,74.0,74.0,86.6659601237692
