,station_id,row,data,realY,esti_data
0,A1001,798,42.2,42.2,65.01100000000001
1,A1001,870,81.9,81.9,99.725
2,A1001,876,58.7,58.7,72.47500000000002
3,A1001,877,29.2,29.2,43.556000000000004
4,A1001,878,13.6,13.6,12.027999999999995
5,A1001,879,10.2,10.2,12.484999999999996
6,A1001,880,10.2,10.2,12.704999999999998
7,A1001,881,9.7,9.7,12.908000000000007
8,A1001,882,16.1,16.1,14.318999999999996
9,A1001,883,29.3,29.3,23.638000000000012
10,A1001,884,29.9,29.9,24.489000000000004
11,A1001,885,29.2,29.2,30.61799999999999
12,A1001,886,29.4,29.4,36.72200000000001
13,A1001,887,35.4,35.4,49.237000000000016
14,A1001,888,33.9,33.9,50.12699999999998
15,A1001,889,32.1,32.1,70.639
16,A1001,890,29.3,29.3,66.707
17,A1001,891,28.3,28.3,61.149999999999984
18,A1001,892,23.1,23.1,38.231
19,A1001,893,20.9,20.9,27.609000000000016
20,A1001,894,25.9,25.9,38.231
21,A1001,895,26.8,26.8,36.25699999999999
22,A1001,896,28.2,28.2,60.7
23,A1001,897,26.2,26.2,26.061000000000007
24,A1001,898,9.7,9.7,9.098000000000006
25,A1001,899,6.6,6.6,12.921999999999999
26,A1001,900,7.1,7.1,8.821999999999997
27,A1001,901,7.1,7.1,8.837999999999997
28,A1001,902,7.4,7.4,13.559000000000003
29,A1001,903,6.4,6.4,12.835
30,A1001,904,6.0,6.0,7.5219999999999985
31,A1001,905,6.9,6.9,8.165999999999999
32,A1001,906,6.7,6.7,9.961000000000002
33,A1001,907,8.2,8.2,10.222000000000005
34,A1001,908,15.2,15.2,12.669000000000006
35,A1001,909,27.9,27.9,10.188
36,A1001,910,35.5,35.5,27.121999999999993
37,A1001,911,42.1,42.1,36.806999999999995
38,A1001,912,46.4,46.4,41.128
39,A1001,913,43.2,43.2,57.982
40,A1001,914,34.4,34.4,63.66000000000001
41,A1001,915,35.0,35.0,46.30500000000001
42,A1001,916,31.3,31.3,46.98300000000002
43,A1001,917,33.1,33.1,16.31099999999999
44,A1001,919,48.7,48.7,46.01599999999999
45,A1001,920,42.6,42.6,63.403999999999996
46,A1001,921,44.4,44.4,64.76899999999999
47,A1001,922,54.0,54.0,41.6
48,A1001,923,34.9,34.9,24.613000000000007
49,A1001,924,18.2,18.2,17.860000000000003
50,A1001,942,43.6,43.6,69.70000000000003
51,A1001,1014,58.2,58.2,71.65199999999996
52,A1001,1019,24.8,24.8,18.785000000000004
53,A1001,1158,17.6,17.6,44.363999999999976
54,A1001,1218,11.9,11.9,16.357
55,A1001,1230,61.4,61.4,63.96200000000001
56,A1001,1302,53.8,53.8,47.467000000000006
57,A1001,1374,26.4,26.4,29.243999999999996
