,station_id,row,data,realY,esti_data
0,A1001,876,116.0,116.0,144.88
1,A1001,877,58.0,58.0,125.17
2,A1001,878,4.0,4.0,3.66
3,A1001,879,5.0,5.0,10.58
4,A1001,880,5.0,5.0,9.51
5,A1001,881,5.0,5.0,20.75
6,A1001,882,10.0,10.0,10.29
7,A1001,883,6.0,6.0,33.62
8,A1001,884,9.0,9.0,14.39
9,A1001,885,9.0,9.0,32.42
10,A1001,886,7.0,7.0,29.42
11,A1001,887,10.0,10.0,58.2
12,A1001,888,11.0,11.0,35.86
13,A1001,889,14.0,14.0,56.76
14,A1001,890,16.0,16.0,79.65
15,A1001,891,10.0,10.0,43.08
16,A1001,892,6.0,6.0,78.64
17,A1001,893,8.0,8.0,57.99
18,A1001,894,6.0,6.0,79.41
19,A1001,895,9.0,9.0,55.5
20,A1001,896,13.0,13.0,40.02
21,A1001,897,10.0,10.0,21.9
22,A1001,898,3.0,3.0,35.08
23,A1001,899,3.0,3.0,114.33
24,A1001,900,3.0,3.0,25.19
25,A1001,901,4.0,4.0,18.91
26,A1001,902,3.0,3.0,12.88
27,A1001,903,3.0,3.0,106.52
28,A1001,904,4.0,4.0,103.17
29,A1001,905,3.0,3.0,23.82
30,A1001,906,7.0,7.0,37.98
31,A1001,907,5.0,5.0,80.04
32,A1001,908,3.0,3.0,39.67
33,A1001,909,11.0,11.0,36.95
34,A1001,910,13.0,13.0,15.88
35,A1001,911,20.0,20.0,24.57
36,A1001,912,9.0,9.0,37.9
37,A1001,913,31.0,31.0,25.8
38,A1001,914,20.0,20.0,85.71
39,A1001,915,15.0,15.0,41.6
40,A1001,916,13.0,13.0,71.37
41,A1001,917,17.0,17.0,33.97
42,A1001,918,19.0,19.0,26.03
43,A1001,919,10.0,10.0,22.01
44,A1001,920,14.0,14.0,19.48
45,A1001,921,23.0,23.0,31.75
46,A1001,922,29.0,29.0,15.92
47,A1001,923,21.0,21.0,26.28
48,A1001,924,26.0,26.0,24.4
49,A1001,1218,13.0,13.0,38.2
50,A1001,1363,92.0,92.0,79.99
51,A1001,1525,150.0,150.0,86.17
52,A1001,1526,155.0,155.0,78.74
53,A1001,1527,172.0,172.0,89.86
54,A1001,1538,144.0,144.0,85.21
55,A1001,1546,142.0,142.0,78.68
56,A1001,1547,175.0,175.0,93.57
57,A1001,1554,110.0,110.0,93.5
58,A1001,1563,138.0,138.0,92.71
59,A1001,1564,141.0,141.0,56.87
60,A1001,1567,122.0,122.0,69.49
61,A1001,1568,141.0,141.0,121.94
62,A1001,1570,145.0,145.0,85.54
63,A1001,1744,11.0,11.0,13.72
64,A1001,1745,11.0,11.0,12.52
65,A1001,1746,9.0,9.0,15.84
66,A1001,1747,14.0,14.0,14.36
67,A1001,1748,16.0,16.0,35.38
68,A1001,2171,84.0,84.0,154.54
69,A1001,2173,142.0,142.0,85.63
70,A1001,2174,137.0,137.0,69.54
71,A1001,2175,135.0,135.0,103.26
72,A1001,2176,136.0,136.0,84.07
73,A1001,2177,133.0,133.0,87.08
74,A1001,2178,150.0,150.0,85.87
75,A1001,2179,148.0,148.0,110.22
76,A1001,2180,146.0,146.0,104.56
77,A1001,2181,147.0,147.0,126.25
78,A1001,2182,163.0,163.0,106.65
79,A1001,2183,148.0,148.0,85.68
80,A1001,2208,150.0,150.0,73.96
81,A1001,2209,162.0,162.0,103.6
82,A1001,2210,166.0,166.0,80.08
83,A1001,2211,180.0,180.0,66.14
84,A1001,2212,170.0,170.0,126.82
85,A1001,2213,164.0,164.0,68.1
86,A1001,2214,143.0,143.0,61.12
87,A1001,2215,134.0,134.0,86.08
88,A1001,2216,146.0,146.0,84.11
89,A1001,2217,153.0,153.0,81.25
90,A1001,2218,172.0,172.0,83.57
91,A1001,2219,181.0,181.0,114.19
92,A1001,2220,187.0,187.0,99.3
93,A1001,2221,179.0,179.0,73.69
94,A1001,2222,174.0,174.0,79.02
95,A1001,2223,165.0,165.0,83.4
96,A1001,2224,152.0,152.0,85.66
97,A1001,2225,146.0,146.0,82.17
98,A1001,2226,139.0,139.0,127.42
99,A1001,2228,112.0,112.0,87.51
100,A1001,2229,114.0,114.0,88.61
101,A1001,2230,125.0,125.0,133.29
102,A1001,2231,141.0,141.0,108.9
103,A1001,2232,147.0,147.0,78.34
104,A1001,2233,141.0,141.0,102.95
105,A1001,2235,127.0,127.0,100.7
106,A1001,2236,141.0,141.0,112.48
107,A1001,2237,127.0,127.0,96.04
108,A1001,2238,116.0,116.0,66.53
109,A1001,2239,117.0,117.0,73.78
110,A1001,2240,128.0,128.0,56.23
111,A1001,2241,137.0,137.0,87.9
112,A1001,2242,121.0,121.0,91.04
113,A1001,2243,137.0,137.0,111.71
114,A1001,2244,148.0,148.0,80.64
115,A1001,2245,150.0,150.0,90.85
116,A1001,2246,151.0,151.0,81.44
117,A1001,2247,159.0,159.0,115.89
118,A1001,2248,150.0,150.0,138.83
119,A1001,2249,127.0,127.0,109.18
120,A1001,2250,114.0,114.0,127.39
121,A1001,2251,116.0,116.0,156.03
122,A1001,2252,121.0,121.0,103.25
123,A1001,2253,113.0,113.0,87.36
124,A1001,2254,117.0,117.0,103.87
125,A1001,2255,124.0,124.0,106.59
126,A1001,2256,140.0,140.0,104.97
127,A1001,2258,148.0,148.0,100.8
128,A1001,2259,138.0,138.0,67.82
129,A1001,2260,129.0,129.0,85.17
130,A1001,2261,124.0,124.0,64.79
131,A1001,2262,117.0,117.0,95.4
132,A1001,2263,110.0,110.0,97.43
133,A1001,2264,123.0,123.0,97.0
134,A1001,2265,146.0,146.0,115.68
135,A1001,2266,156.0,156.0,102.24
136,A1001,2267,162.0,162.0,69.37
137,A1001,2284,37.0,37.0,28.64
138,A1001,2285,42.0,42.0,79.29
139,A1001,2286,41.0,41.0,72.95
140,A1001,2287,40.0,40.0,57.04
141,A1001,2288,39.0,39.0,56.6
142,A1001,2292,13.0,13.0,15.97
143,A1001,2293,6.0,6.0,43.4
144,A1001,2295,10.0,10.0,35.07
145,A1001,2296,8.0,8.0,49.32
146,A1001,2363,76.0,76.0,89.59
147,A1001,2364,81.0,81.0,63.28
148,A1001,2365,49.0,49.0,47.78
149,A1001,2390,83.0,83.0,66.88
150,A1001,2456,34.0,34.0,43.49
151,A1001,2510,45.0,45.0,83.79
152,A1001,2511,31.0,31.0,71.05
153,A1001,2512,25.0,25.0,37.98
154,A1001,2513,13.0,13.0,47.64
155,A1001,2514,14.0,14.0,25.76
156,A1001,2515,16.0,16.0,12.58
157,A1001,2516,18.0,18.0,29.3
158,A1001,2517,23.0,23.0,42.11
159,A1001,2518,35.0,35.0,43.01
160,A1001,2519,35.0,35.0,49.2
161,A1001,2520,35.0,35.0,49.43
162,A1001,2521,21.0,21.0,48.38
163,A1001,2522,24.0,24.0,45.72
164,A1001,2523,20.0,20.0,38.74
165,A1001,2524,15.0,15.0,48.74
166,A1001,2525,11.0,11.0,23.26
167,A1001,2526,12.0,12.0,33.69
168,A1001,2527,13.0,13.0,28.37
169,A1001,2528,13.0,13.0,43.67
170,A1001,2529,22.0,22.0,53.41
171,A1001,2530,23.0,23.0,36.81
172,A1001,2531,22.0,22.0,18.77
173,A1001,2532,24.0,24.0,42.0
174,A1001,2533,21.0,21.0,34.22
175,A1001,2534,22.0,22.0,42.67
176,A1001,2535,41.0,41.0,47.6
177,A1001,2536,39.0,39.0,35.27
178,A1001,2537,27.0,27.0,71.14
179,A1001,2538,28.0,28.0,54.5
180,A1001,2539,27.0,27.0,57.86
181,A1001,2540,30.0,30.0,45.2
182,A1001,2541,14.0,14.0,43.42
183,A1001,2542,15.0,15.0,12.02
184,A1001,2543,13.0,13.0,26.99
185,A1001,2544,17.0,17.0,36.7
186,A1001,2545,13.0,13.0,22.5
187,A1001,2546,11.0,11.0,31.7
188,A1001,2547,14.0,14.0,32.19
189,A1001,2548,14.0,14.0,56.18
190,A1001,2549,16.0,16.0,46.9
191,A1001,2550,16.0,16.0,55.19
192,A1001,2551,20.0,20.0,20.15
193,A1001,2552,21.0,21.0,28.39
194,A1001,2553,18.0,18.0,20.39
195,A1001,2554,41.0,41.0,28.78
196,A1001,2555,43.0,43.0,29.22
197,A1001,2585,24.0,24.0,20.61
198,A1001,2588,87.0,87.0,125.19
199,A1001,2589,83.0,83.0,100.84
200,A1001,2590,69.0,69.0,83.3
201,A1001,2591,66.0,66.0,85.24
202,A1001,2594,73.0,73.0,57.24
203,A1001,2595,64.0,64.0,58.23
204,A1001,2597,71.0,71.0,67.75
205,A1001,2599,37.0,37.0,20.41
206,A1001,2600,36.0,36.0,36.94
207,A1001,2607,36.0,36.0,26.52
208,A1001,2608,36.0,36.0,43.06
209,A1001,2609,36.0,36.0,35.53
210,A1001,2610,30.0,30.0,22.37
211,A1001,2613,28.0,28.0,33.76
212,A1001,2615,53.0,53.0,60.04
213,A1001,2616,64.0,64.0,64.49
214,A1001,2617,69.0,69.0,65.6
215,A1001,2621,60.0,60.0,31.83
216,A1001,2622,59.0,59.0,34.46
217,A1001,2623,54.0,54.0,32.33
218,A1001,2624,49.0,49.0,44.14
219,A1001,2625,51.0,51.0,27.51
220,A1001,2627,49.0,49.0,44.53
221,A1001,2710,125.0,125.0,93.45
222,A1001,2735,62.0,62.0,66.9
223,A1001,2736,64.0,64.0,82.19
224,A1001,2800,6.0,6.0,96.15
225,A1001,2801,5.0,5.0,108.24
226,A1001,2947,63.0,63.0,90.36
